method,method_label,threat,receiver,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,mean_posterior,ber,ber_ci_low,ber_ci_high,bler,bler_ci_low,bler_ci_high,bler_boot_low,bler_boot_high,bler_upper_bound,zero_error,stats_sufficient,collision_rate,elapsed_s
mcsh_l2,MCSH $L_h=2$,fixed_d3,oracle,106,4084000,57,2000,666865,4096000,0.15306902451890214,2.595494613124388e-05,2.146195834816803e-05,3.138849605874912e-05,0.0285,0.02206251605452925,0.036745259531692165,0.0215,0.036,0.036745259531692165,False,False,0.162808837890625,30.807736374999877
mcsh_l2,MCSH $L_h=2$,fixed_d3,mixllr,1031,4084000,288,2000,666865,4096000,0.15293172536132818,0.00025244857982370224,0.00023750381984752306,0.00026833347585951715,0.144,0.12929517927927842,0.16006975838497356,0.1285,0.159,0.16006975838497356,False,True,0.162808837890625,28.645613791000414
mcsh_l2,MCSH $L_h=2$,delay_uniform,none,32486,4084000,1874,2000,379370,4096000,0.10096835589303393,0.007954456415279138,0.00786876387005474,0.008041074607377028,0.937,0.9254914002053402,0.9468331004708449,0.9259875000000001,0.9475125,0.9468331004708449,False,True,0.09261962890625,30.75634262499989
mcsh_l2,MCSH $L_h=2$,delay_uniform,brw,1047,4084000,304,2000,379370,4096000,0.10099245292794638,0.00025636630754162585,0.00024130253457384698,0.0002723702091989251,0.152,0.1369335762101217,0.16840068869763025,0.1365,0.168,0.16840068869763025,False,True,0.09261962890625,30.67052245800005
mcsh_l2,MCSH $L_h=2$,delay_uniform,hard_tuned,1995,4084000,478,2000,379370,4096000,0.10106868645396398,0.0004884916748285994,0.0004675261078073656,0.0005103969338600191,0.239,0.22082092237035705,0.2581797763104569,0.2195,0.2565,0.2581797763104569,False,True,0.09261962890625,30.67338474999997
mcsh_l2,MCSH $L_h=2$,delay_uniform,oracle,15,4084000,11,2000,379370,4096000,0.1010010952102968,3.672869735553379e-06,2.225904732061624e-06,6.0604388010055795e-06,0.0055,0.0030738970095438656,0.009822062751615183,0.0025,0.009,0.009822062751615183,False,False,0.09261962890625,30.72330433300067
mcsh_l2,MCSH $L_h=2$,delay_uniform,mixllr,255,4084000,79,2000,379370,4096000,0.10097413671104873,6.243878550440744e-05,5.5231267504595434e-05,7.058679701444966e-05,0.0395,0.03180890787160724,0.04895669267442662,0.031,0.04801249999999993,0.04895669267442662,False,False,0.09261962890625,28.625759042000027
mcsh_l2,MCSH $L_h=2$,oracle_best_lag,none,103418,4084000,2000,2000,707293,4096000,0.1602780486545592,0.025322722820763956,0.025170801749817853,0.02547553686501968,1.0,0.9980829527187471,1.0,1.0,1.0,1.0,False,True,0.172678955078125,32.26253720800014
mcsh_l2,MCSH $L_h=2$,oracle_best_lag,brw,4598,4084000,906,2000,707293,4096000,0.1602850066930673,0.0011258570029382957,0.0010937990090569988,0.0011588534898041376,0.453,0.43129479940969134,0.4748854030347464,0.431,0.4750124999999999,0.4748854030347464,False,True,0.172678955078125,32.16724658400017
mcsh_l2,MCSH $L_h=2$,oracle_best_lag,hard_tuned,7838,4084000,1260,2000,707293,4096000,0.16022213058378343,0.0019191968658178256,0.001877215718821953,0.001962115013349885,0.63,0.6086101634758858,0.6508914042309886,0.608,0.652,0.6508914042309886,False,True,0.172678955078125,32.237656917000095
mcsh_l2,MCSH $L_h=2$,oracle_best_lag,oracle,151,4084000,80,2000,707293,4096000,0.16017584908145344,3.697355533790401e-05,3.1527949062173744e-05,4.3359703029614256e-05,0.04,0.03225674693998136,0.04950693655877125,0.0315,0.049,0.04950693655877125,False,False,0.172678955078125,32.32182812500014
mcsh_l2,MCSH $L_h=2$,oracle_best_lag,mixllr,1189,4084000,336,2000,707293,4096000,0.16028493498176385,0.00029113614103819783,0.000275053618441241,0.00030815872691490126,0.168,0.15225469295105767,0.18501822644369423,0.1515,0.185,0.18501822644369423,False,True,0.172678955078125,30.007443041999977
mcsh_l2,MCSH $L_h=2$,causal_adaptive_lag,none,73704,4084000,1992,2000,602747,4096000,0.1413775233464833,0.018047012732615084,0.017918357303660752,0.018176574822104503,0.996,0.9921265357039624,0.9979717533930348,0.993,0.9985,0.9979717533930348,False,True,0.147155029296875,31.067264915999658
mcsh_l2,MCSH $L_h=2$,causal_adaptive_lag,brw,2989,4084000,664,2000,602785,4096000,0.1414475687508671,0.0007318805093046033,0.0007061178649474394,0.0007585823878035372,0.332,0.3117002598749671,0.3529438680115339,0.312,0.3535,0.3529438680115339,False,True,0.147164306640625,31.104015875000186
mcsh_l2,MCSH $L_h=2$,causal_adaptive_lag,hard_tuned,5154,4084000,983,2000,602785,4096000,0.14157809597479842,0.001261998041136141,0.0012280321305793364,0.0012969021885659822,0.4915,0.4696274032175005,0.5134051865862808,0.47,0.5130125,0.5134051865862808,False,True,0.147164306640625,31.054008832999898
mcsh_l2,MCSH $L_h=2$,causal_adaptive_lag,oracle,92,4084000,47,2000,602785,4096000,0.14139418959050337,2.2526934378060724e-05,1.8370149232428757e-05,2.762428811697302e-05,0.0235,0.01771822436169107,0.031108721697342877,0.0175,0.031,0.031108721697342877,False,False,0.147164306640625,31.03298183300012
mcsh_l2,MCSH $L_h=2$,causal_adaptive_lag,mixllr,870,4084000,235,2000,602785,4096000,0.14141360187804458,0.000213026444662096,0.00019933486467901585,0.00022765823486659763,0.1175,0.10411507285054691,0.1323514683196115,0.1035,0.132,0.1323514683196115,False,True,0.147164306640625,29.052087582999775
mcsh_l2,MCSH $L_h=2$,candidate_aware,none,83923,4084000,1997,2000,674475,4096000,0.15429553667163853,0.020549216454456416,0.020412074445265344,0.020687260416982028,0.9985,0.9955989674442296,0.9994897364163615,0.9965,1.0,0.9994897364163615,False,True,0.164666748046875,30.786570958000084
mcsh_l2,MCSH $L_h=2$,candidate_aware,brw,3545,4084000,757,2000,674475,4096000,0.15427817943106234,0.0008680215475024486,0.000839925632671324,0.0008970564403638346,0.3785,0.35749578063225096,0.3999700618570935,0.356,0.4,0.3999700618570935,False,True,0.164666748046875,30.978641458999846
mcsh_l2,MCSH $L_h=2$,candidate_aware,hard_tuned,6216,4084000,1090,2000,674475,4096000,0.1543541062844146,0.0015220372184133204,0.001484694906972102,0.0015603172775361693,0.545,0.5231103560332854,0.566717109711402,0.5239875,0.566,0.566717109711402,False,True,0.164666748046875,30.70503295799972
mcsh_l2,MCSH $L_h=2$,candidate_aware,oracle,116,4084000,66,2000,674475,4096000,0.1543061581066602,2.8403525954946132e-05,2.3683711139684507e-05,3.406389830831506e-05,0.033,0.026022752700289854,0.0417677694604003,0.0255,0.04051249999999993,0.0417677694604003,False,False,0.164666748046875,30.938623333000578
mcsh_l2,MCSH $L_h=2$,candidate_aware,mixllr,1005,4084000,287,2000,674475,4096000,0.1544427291949003,0.0002460822722820764,0.0002313328951051851,0.0002617717974950408,0.1435,0.12881830318012089,0.15954855153141234,0.1285,0.1585,0.15954855153141234,False,True,0.164666748046875,28.808586500000274
pash_a08,PASH $\alpha=0.8$,fixed_d1,none,16031,4084000,1630,2000,356957,4096000,0.09694780414061854,0.003925318315377081,0.003865139053690647,0.003986430803640011,0.815,0.7973841501311265,0.8314081100816841,0.7979875000000001,0.8310124999999999,0.8314081100816841,False,True,0.087147705078125,32.06173316699915
pash_a08,PASH $\alpha=0.8$,fixed_d1,brw,382,4084000,128,2000,356957,4096000,0.09699864399977642,9.353574926542605e-05,8.461482056039154e-05,0.0001033971129804002,0.064,0.05408699935255344,0.07558466587669903,0.053,0.0755,0.07558466587669903,False,True,0.087147705078125,32.368948416999956
pash_a08,PASH $\alpha=0.8$,fixed_d1,hard_tuned,556,4084000,164,2000,356957,4096000,0.09713977334692328,0.00013614103819784525,0.0001252860495202036,0.00014793638173542212,0.082,0.07076181688143154,0.09484083464569584,0.0705,0.095,0.09484083464569584,False,True,0.087147705078125,32.07389624999996
pash_a08,PASH $\alpha=0.8$,fixed_d1,oracle,1,4084000,1,2000,356957,4096000,0.09683387075458227,2.4485798237022526e-07,4.3223447667865993e-08,1.38710302788396e-06,0.0005,8.826773070547112e-05,0.0028268625032661053,0.0,0.0015,0.0028268625032661053,False,False,0.087147705078125,32.079372916000466
pash_a08,PASH $\alpha=0.8$,fixed_d1,mixllr,43,4084000,20,2000,356957,4096000,0.09695726910627599,1.0528893241919687e-05,7.81726076684686e-06,1.4181116881251099e-05,0.01,0.006482767876552764,0.015395938459075009,0.006,0.0145,0.015395938459075009,False,False,0.087147705078125,30.067472458999873
pash_a08,PASH $\alpha=0.8$,fixed_d3,none,17452,4084000,1657,2000,369449,4096000,0.09919615864647227,0.0042732615083251714,0.004210462339255403,0.004336993249413067,0.8285,0.811354030063436,0.8443864698727809,0.8125,0.845,0.8443864698727809,False,True,0.090197509765625,32.056484708000426
pash_a08,PASH $\alpha=0.8$,fixed_d3,brw,401,4084000,117,2000,369449,4096000,0.0992477201393109,9.818805093046033e-05,8.903699647004452e-05,0.00010827953164880381,0.0585,0.049036041566208964,0.0696567111831373,0.048,0.069,0.0696567111831373,False,True,0.090197509765625,32.096657834000325
pash_a08,PASH $\alpha=0.8$,fixed_d3,hard_tuned,499,4084000,162,2000,369449,4096000,0.09924221675298925,0.0001221841332027424,0.00011192423648047667,0.00013338441104097928,0.081,0.06983042853923974,0.09377605708245015,0.06948750000000001,0.093,0.09377605708245015,False,True,0.090197509765625,32.27133337499981
pash_a08,PASH $\alpha=0.8$,fixed_d3,oracle,3,4084000,2,2000,369449,4096000,0.09912127625794971,7.345739471106758e-07,2.498214627520518e-07,2.1599360210162566e-06,0.001,0.0002742789176520429,0.0036389342690382803,0.0,0.0025,0.0036389342690382803,False,False,0.090197509765625,31.971990707999794
pash_a08,PASH $\alpha=0.8$,fixed_d3,mixllr,92,4084000,25,2000,369449,4096000,0.0992806049887511,2.2526934378060724e-05,1.8370149232428757e-05,2.762428811697302e-05,0.0125,0.008481081388571177,0.018388039710650336,0.008,0.0175,0.018388039710650336,False,False,0.090197509765625,30.013789832999464
pash_a08,PASH $\alpha=0.8$,delay_uniform,none,18235,4084000,1676,2000,372313,4096000,0.09979791667503632,0.004464985308521058,0.004400788601738578,0.004530114226646644,0.838,0.8212067437991751,0.853497332238698,0.821,0.8530125,0.853497332238698,False,True,0.090896728515625,31.98887541699969
pash_a08,PASH $\alpha=0.8$,delay_uniform,brw,428,4084000,138,2000,372313,4096000,0.09977756467102039,0.00010479921645445642,9.533030586276678e-05,0.00011520854086700407,0.069,0.058698269797796125,0.08095422495864382,0.0585,0.08001249999999993,0.08095422495864382,False,True,0.090896728515625,32.060980875000496
pash_a08,PASH $\alpha=0.8$,delay_uniform,hard_tuned,597,4084000,181,2000,372313,4096000,0.09967798325271454,0.00014618021547502447,0.0001349158330731975,0.00015838493385086607,0.0905,0.07869900861825241,0.10387105310509367,0.0785,0.1035,0.10387105310509367,False,True,0.090896728515625,32.071363042000485
pash_a08,PASH $\alpha=0.8$,delay_uniform,oracle,2,4084000,2,2000,372313,4096000,0.09983226217183643,4.897159647404505e-07,1.3429779143270494e-07,1.7857441882273622e-06,0.001,0.0002742789176520429,0.0036389342690382803,0.0,0.0025,0.0036389342690382803,False,False,0.090896728515625,32.06306120799945
pash_a08,PASH $\alpha=0.8$,delay_uniform,mixllr,77,4084000,28,2000,372313,4096000,0.09976493710918151,1.8854064642507346e-05,1.5086997527494858e-05,2.3561707260283302e-05,0.014,0.009703783146220276,0.020159586811157475,0.009,0.0195,0.020159586811157475,False,False,0.090896728515625,30.010467625000274
pash_a08,PASH $\alpha=0.8$,oracle_best_lag,none,38714,4084000,1929,2000,521568,4096000,0.126870510602603,0.009479431929480902,0.009385913812220786,0.00957387282479711,0.9645,0.9554589393059804,0.9717601237697359,0.9565,0.972,0.9717601237697359,False,True,0.1273359375,33.684407416000795
pash_a08,PASH $\alpha=0.8$,oracle_best_lag,brw,1000,4084000,288,2000,521568,4096000,0.12665450445982285,0.0002448579823702253,0.00023014646735332472,0.00026050964772636004,0.144,0.12929517927927842,0.16006975838497356,0.1285,0.1595,0.16006975838497356,False,True,0.1273359375,33.80548345800071
