experiment,scenario,scheme,x_name,x_value,n_phys,n_active,snr_db,jsr_db,channel,csi_nmse_db,sync_error_prob,jammer_est_error_db,bit_errors,total_bits,frame_errors,total_frames,collisions,active_symbols,collision_variance_sum,max_symbol_collision_sum,adjacent_overlap_sum,detected_collisions,false_alarms,positive_symbols,negative_symbols,posterior_collision_sum,sync_error_symbols,ber,ber_ci_low,ber_ci_high,fer,collision_rate,collision_variance,max_symbol_collision,adjacent_overlap,pd,pfa,mean_posterior,elapsed_s,ms_per_frame
core_ber,reactive_union2,mc2_brw,snr_db,8.0,512,64,8.0,5.0,awgn,-300.0,0.0,0.0,6,151800,2,300,2269,153600,0.5140571594238281,35.453125,0.0,1477,4584,2269,151331,23301.5191490463,0,3.9525691699604744e-05,1.8115100932528393e-05,8.623969449595997e-05,0.006666666666666667,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.6509475539885412,0.030291215943858165,0.1517025986266035,1.16940145800001,3.8980048600000337
core_ber,reactive_union2,mc2_brw,snr_db,12.0,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,3,151800,1,300,2269,153600,0.5140571594238281,35.453125,0.0,1841,2967,2269,151331,14051.542213847884,0,1.9762845849802372e-05,6.721173288677145e-06,5.810893065413758e-05,0.0033333333333333335,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.8113706478624945,0.019606029167850605,0.09148139462140549,1.1652687920000062,3.8842293066666875
core_ber,reactive_union2,mc2_brw,snr_db,16.0,512,64,16.0,5.0,awgn,-300.0,0.0,0.0,1,151800,1,300,2269,153600,0.5140571594238281,35.453125,0.0,2072,1299,2269,151331,8233.031616094655,0,6.587615283267457e-06,1.1628768024551411e-06,3.731743281657717e-05,0.0033333333333333335,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.9131776112825033,0.008583832790373419,0.05360046625061624,1.160122584000021,3.8670752800000705
core_ber,reactive_union2,mc2_oracle,snr_db,4.0,512,64,4.0,5.0,awgn,-300.0,0.0,0.0,14,151800,3,300,2269,153600,0.5140571594238281,35.453125,0.0,1037,3763,2269,151331,30761.148078232043,0,9.22266139657444e-05,5.494053488377325e-05,0.0001548134378398448,0.01,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.45702952842661965,0.02486602216333732,0.2002678911343232,1.1652646249999918,3.8842154166666396
core_ber,reactive_union2,mc2_oracle,snr_db,8.0,512,64,8.0,5.0,awgn,-300.0,0.0,0.0,0,151800,0,300,2269,153600,0.5140571594238281,35.453125,0.0,1477,4584,2269,151331,23301.5191490463,0,0.0,0.0,2.53054124571411e-05,0.0,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.6509475539885412,0.030291215943858165,0.1517025986266035,1.1681963749999795,3.8939879166665983
core_ber,reactive_union2,mc2_oracle,snr_db,12.0,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,0,151800,0,300,2269,153600,0.5140571594238281,35.453125,0.0,1841,2967,2269,151331,14051.542213847884,0,0.0,0.0,2.53054124571411e-05,0.0,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.8113706478624945,0.019606029167850605,0.09148139462140549,1.1692321669999899,3.897440556666633
core_ber,reactive_union2,mc2_oracle,snr_db,16.0,512,64,16.0,5.0,awgn,-300.0,0.0,0.0,0,151800,0,300,2269,153600,0.5140571594238281,35.453125,0.0,2072,1299,2269,151331,8233.031616094655,0,0.0,0.0,2.53054124571411e-05,0.0,0.014772135416666667,0.0017135238647460937,0.11817708333333334,0.0,0.9131776112825033,0.008583832790373419,0.05360046625061624,1.1673522499999933,3.8911741666666444
delay_ablation,reactive_d1,random_k7,delay,1,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,1051,101200,124,200,12823,102400,0.2754402160644531,36.84375,25.06026785714285,9938,565,12823,89577,12862.926165571502,0,0.010385375494071146,0.009779095518987604,0.011028824698917857,0.62,0.125224609375,0.0013772010803222655,0.18421875,0.12530133928571424,0.7750136473524136,0.0063074226642999874,0.1256145133356592,0.7507270420000225,3.7536352100001125
delay_ablation,reactive_d1,mc1_k7,delay,1,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,104,101200,19,200,1670,102400,0.4049224853515625,26.09375,0.0,1301,590,1670,100730,4572.601523444935,0,0.0010276679841897233,0.0008482987460974689,0.0012449168450013241,0.095,0.01630859375,0.0020246124267578125,0.13046875,0.0,0.7790419161676647,0.0058572421324332375,0.04465431175239194,0.7709237910000013,3.8546189550000065
delay_ablation,reactive_d1,mc2_k7,delay,1,512,64,12.0,5.0,awgn,-300.0,0.0,0.0,104,101200,19,200,1670,102400,0.4049224853515625,26.09375,0.0,1301,601,1670,100730,4585.435926529157,0,0.0010276679841897233,0.0008482987460974689,0.0012449168450013241,0.095,0.01630859375,0.0020246124267578125,0.13046875,0.0,0.7790419161676647,0.005966444951851484,0.0447796477200113,0.7734479579999913,3.8672397899999567
